,Unnamed: 0,real,img,nr_result_x,nr_result_y,tag,color,x,y
188,188,-2.9393939393939394,2.333333333333334,-3.2367,3.3422,1,"(253, 219, 199)",1,88
189,189,-2.9393939393939394,2.3939393939393945,-3.2367,3.3422,1,"(253, 219, 199)",1,89
190,190,-2.9393939393939394,2.454545454545455,-3.2367,3.3422,1,"(253, 219, 199)",1,90
191,191,-2.9393939393939394,2.515151515151516,-3.2367,3.3422,1,"(253, 219, 199)",1,91
192,192,-2.9393939393939394,2.575757575757576,-3.2367,3.3422,1,"(253, 219, 199)",1,92
193,193,-2.9393939393939394,2.6363636363636367,-3.2367,3.3422,1,"(253, 219, 199)",1,93
194,194,-2.9393939393939394,2.696969696969697,-3.2367,3.3422,1,"(253, 219, 199)",1,94
195,195,-2.9393939393939394,2.757575757575758,-3.2367,3.3422,1,"(253, 219, 199)",1,95
196,196,-2.9393939393939394,2.8181818181818183,-3.2367,3.3422,1,"(253, 219, 199)",1,96
197,197,-2.9393939393939394,2.878787878787879,-3.2367,3.3422,1,"(253, 219, 199)",1,97
198,198,-2.9393939393939394,2.9393939393939394,-3.2367,3.3422,1,"(253, 219, 199)",1,98
199,199,-2.9393939393939394,3.0,-3.2367,3.3422,1,"(253, 219, 199)",1,99
200,200,-2.878787878787879,-3.0,-3.2367,-3.3422,3,"(67, 147, 195)",2,0
201,201,-2.878787878787879,-2.9393939393939394,-3.2367,-3.3422,3,"(67, 147, 195)",2,1
202,202,-2.878787878787879,-2.878787878787879,-3.2367,-3.3422,3,"(67, 147, 195)",2,2
203,203,-2.878787878787879,-2.8181818181818183,-3.2367,-3.3422,3,"(67, 147, 195)",2,3
204,204,-2.878787878787879,-2.757575757575758,-3.2367,-3.3422,3,"(67, 147, 195)",2,4
205,205,-2.878787878787879,-2.696969696969697,-3.2367,-3.3422,3,"(67, 147, 195)",2,5
206,206,-2.878787878787879,-2.636363636363636,-3.2367,-3.3422,3,"(67, 147, 195)",2,6
207,207,-2.878787878787879,-2.575757575757576,-3.2367,-3.3422,3,"(67, 147, 195)",2,7
208,208,-2.878787878787879,-2.515151515151515,-3.2367,-3.3422,3,"(67, 147, 195)",2,8
209,209,-2.878787878787879,-2.4545454545454546,-3.2367,-3.3422,3,"(67, 147, 195)",2,9
210,210,-2.878787878787879,-2.393939393939394,-3.2367,-3.3422,3,"(67, 147, 195)",2,10
211,211,-2.878787878787879,-2.333333333333333,-3.2367,-3.3422,3,"(67, 147, 195)",2,11
212,212,-2.878787878787879,-2.2727272727272725,-3.2367,-3.3422,3,"(67, 147, 195)",2,12
213,213,-2.878787878787879,-2.212121212121212,-3.2367,-3.3422,3,"(67, 147, 195)",2,13
214,214,-2.878787878787879,-2.1515151515151514,-3.2367,-3.3422,3,"(67, 147, 195)",2,14
215,215,-2.878787878787879,-2.090909090909091,-3.2367,-3.3422,3,"(67, 147, 195)",2,15
216,216,-2.878787878787879,-2.0303030303030303,-3.2367,-3.3422,3,"(67, 147, 195)",2,16
217,217,-2.878787878787879,-1.9696969696969695,-3.2367,-3.3422,3,"(67, 147, 195)",2,17
218,218,-2.878787878787879,-1.9090909090909087,-3.2367,-3.3422,3,"(67, 147, 195)",2,18
